PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2011-02-01,56,47,37,45,41,37,100,82,64,30.21,30.18,30.12,8,4,0,8,2,16.0,0.00,4,,52<br />
2011-02-02,58,47,35,42,38,35,100,74,47,30.43,30.34,30.22,9,6,2,7,1,13.0,0.00,0,,312<br />
2011-02-03,61,48,34,40,37,35,92,66,39,30.51,30.44,30.4,10,7,6,8,1,9.0,0.00,1,,359<br />
2011-02-04,61,49,36,41,38,34,92,67,42,30.43,30.36,30.3,8,6,4,8,1,10.0,0.00,4,,198<br />
2011-02-05,62,50,38,43,39,35,92,66,39,30.32,30.23,30.15,7,5,3,6,1,21.0,0.00,4,,86<br />
2011-02-06,69,54,39,45,42,38,93,66,39,30.29,30.23,30.16,6,4,3,7,2,,0.00,1,,109<br />
2011-02-07,70,56,42,48,45,39,93,67,40,30.27,30.14,29.98,9,6,4,9,1,15.0,0.00,1,,87<br />
2011-02-08,53,46,38,46,33,27,93,69,44,30.15,30.04,29.96,10,10,4,20,4,24.0,0.00,3,,301<br />
2011-02-09,61,48,34,37,33,28,92,61,29,30.27,30.19,30.15,10,9,6,7,3,18.0,0.00,0,,13<br />
2011-02-10,63,49,34,36,33,27,89,57,25,30.23,30.18,30.13,10,9,6,8,2,16.0,0.00,0,,313<br />
2011-02-11,67,51,35,39,35,30,85,56,26,30.3,30.23,30.18,10,10,8,9,2,,0.00,3,,23<br />
2011-02-12,75,56,37,40,34,25,85,51,16,30.32,30.25,30.17,10,10,9,7,2,28.0,0.00,2,,82<br />
2011-02-13,72,55,38,44,38,33,79,53,26,30.19,30.08,29.99,10,9,6,12,4,13.0,0.00,3,,121<br />
2011-02-14,63,55,46,45,41,34,74,63,52,30.26,30.17,30.04,10,10,6,17,8,21.0,T,6,Rain,129<br />
2011-02-15,67,58,49,45,42,38,71,58,44,30.18,30.07,29.94,10,10,10,16,7,21.0,0.00,6,,140<br />
2011-02-16,56,52,48,48,42,36,77,64,50,30.08,29.92,29.8,10,9,2,23,12,28.0,0.09,7,Rain,137<br />
2011-02-17,55,47,39,43,38,32,92,68,43,30.07,30.0,29.93,10,10,8,24,11,29.0,0.00,6,Rain,128<br />
2011-02-18,58,52,46,48,44,37,93,70,47,29.93,29.8,29.65,10,9,4,15,5,20.0,0.46,8,Rain,61<br />
2011-02-19,55,50,44,47,39,34,93,72,50,29.93,29.82,29.65,10,10,10,20,8,28.0,0.26,7,Rain,144<br />
2011-02-20,55,48,41,41,38,33,93,70,46,30.15,30.09,29.95,10,10,7,9,3,18.0,0.00,5,,304<br />
2011-02-21,54,46,37,40,37,33,92,69,46,30.1,30.02,29.95,10,9,7,9,2,,0.00,5,,125<br />
2011-02-22,59,48,37,39,36,33,85,63,40,30.11,30.07,30.01,10,10,10,12,5,28.0,0.00,2,,303<br />
2011-02-23,58,47,36,39,37,34,92,68,43,30.16,30.09,30.04,10,9,5,12,3,16.0,0.00,3,,305<br />
2011-02-24,55,47,38,38,35,33,86,66,46,30.26,30.18,30.13,10,10,6,13,8,18.0,0.00,5,,289<br />
2011-02-25,52,49,45,47,42,32,93,80,66,30.13,29.92,29.8,10,8,0,28,16,35.0,0.56,8,Fog-Rain,136<br />
2011-02-26,52,47,42,33,27,22,93,79,65,29.9,29.85,29.82,10,10,10,28,13,35.0,0.58,3,,301<br />
2011-02-27,53,42,30,33,30,27,92,67,41,30.25,30.11,29.91,10,10,8,15,4,,T,1,,133<br />
2011-02-28,62,47,32,35,31,26,89,58,27,30.28,30.23,30.16,10,10,9,8,2,14.0,0.00,1,,140<br />
2011-03-01,58,47,36,42,37,32,85,64,43,30.19,30.13,30.06,10,9,6,10,5,14.0,0.00,6,,135<br />
2011-03-02,66,57,48,52,47,39,93,73,52,30.17,30.12,30.07,10,10,8,18,8,24.0,0.05,6,Rain,130<br />
2011-03-03,68,58,48,50,46,41,100,73,45,30.25,30.2,30.16,10,8,2,13,6,,0.00,3,,326<br />
2011-03-04,68,55,41,45,42,39,89,66,42,30.3,30.26,30.24,10,10,10,9,1,,0.00,3,,333<br />
2011-03-05,71,58,44,49,44,37,92,62,31,30.26,30.17,30.05,10,10,6,9,2,23.0,0.00,5,,331<br />
2011-03-06,64,59,54,52,49,46,83,72,60,30.05,29.94,29.83,10,8,4,15,7,18.0,0.01,7,Rain,129<br />
2011-03-07,60,55,49,52,42,33,93,66,39,30.13,29.98,29.83,10,10,4,24,14,32.0,0.05,6,Rain,302<br />
2011-03-08,64,52,40,46,41,37,93,66,39,30.3,30.23,30.13,10,10,10,16,4,22.0,0.00,3,,40<br />
2011-03-09,72,60,48,50,47,44,86,64,41,30.31,30.25,30.19,10,10,7,7,2,16.0,0.00,3,,11<br />
2011-03-10,75,62,48,50,48,44,93,66,38,30.19,30.16,30.11,10,9,6,18,5,22.0,0.00,2,,313<br />
2011-03-11,65,57,48,49,43,34,89,62,34,30.17,30.12,30.07,10,10,10,16,8,21.0,0.00,3,,326<br />
2011-03-12,67,55,43,43,40,35,89,63,37,30.2,30.15,30.11,10,10,10,12,5,24.0,0.00,4,,306<br />
2011-03-13,69,57,45,46,42,39,86,61,35,30.28,30.23,30.16,10,10,10,10,3,,0.00,5,,39<br />
2011-03-14,75,63,51,54,49,46,80,61,41,30.28,30.23,30.17,10,10,10,12,5,,0.00,6,,326<br />
2011-03-15,76,64,52,54,52,45,100,67,33,30.22,30.16,30.06,10,9,3,13,5,,0.00,6,,336<br />
2011-03-16,63,56,49,56,48,35,93,67,40,30.21,30.15,30.06,10,10,7,24,13,31.0,0.02,7,Rain,316<br />
2011-03-17,65,53,40,41,38,26,83,54,25,30.27,30.19,30.12,10,10,9,12,3,,0.00,3,,333<br />
2011-03-18,64,54,43,45,40,32,92,62,32,30.15,30.09,29.99,10,10,7,24,9,29.0,0.25,7,Rain,120<br />
2011-03-19,56,49,42,44,41,35,100,74,47,30.06,29.96,29.71,10,10,9,25,11,35.0,T,7,Rain,126<br />
2011-03-20,55,50,44,49,45,35,100,74,47,29.69,29.63,29.57,10,5,2,20,9,30.0,1.82,8,Rain,131<br />
2011-03-21,55,50,44,44,42,38,93,72,51,30.08,29.87,29.67,10,9,2,16,6,20.0,0.25,7,Rain-Thunderstorm,94<br />
2011-03-22,61,53,44,44,40,35,92,66,39,30.15,30.08,30.02,10,10,8,13,5,18.0,0.01,5,,148<br />
2011-03-23,54,49,44,46,43,39,89,80,71,30.03,29.91,29.84,10,9,1,18,8,17.0,0.54,7,Rain-Thunderstorm,106<br />
2011-03-24,53,49,44,48,43,40,100,80,59,29.99,29.94,29.88,10,10,5,24,14,32.0,0.28,8,Rain,125<br />
2011-03-25,60,51,41,46,40,35,100,70,39,30.07,30.0,29.94,10,9,2,8,3,15.0,0.02,5,Rain,121<br />
2011-03-26,59,54,48,50,45,43,86,72,57,30.01,29.97,29.92,10,10,7,20,10,24.0,0.06,8,Rain,110<br />
2011-03-27,64,57,49,52,47,43,100,74,48,30.07,30.03,29.97,10,9,3,12,5,14.0,0.10,6,Rain,311<br />
2011-03-28,65,56,46,46,45,43,93,71,48,30.14,30.09,30.04,10,10,7,15,9,20.0,0.00,4,,310<br />
2011-03-29,69,57,45,49,45,42,86,63,40,30.22,30.17,30.13,10,10,10,14,4,20.0,0.00,5,,308<br />
2011-03-30,73,61,49,55,49,46,93,69,44,30.24,30.19,30.14,10,10,10,10,3,15.0,0.00,4,,47<br />
2011-03-31,81,66,51,59,53,49,93,65,36,30.18,30.08,29.96,10,10,6,7,2,,0.00,2,,50<br />
2011-04-01,86,71,55,61,56,53,93,63,32,29.96,29.83,29.72,10,8,4,6,2,10.0,0.00,2,,34<br />
2011-04-02,76,69,61,59,53,47,78,58,38,29.87,29.79,29.73,10,10,10,21,6,24.0,0.00,5,,300<br />
2011-04-03,67,57,47,50,41,34,77,59,40,30.11,30.02,29.9,10,10,10,17,11,22.0,0.00,3,,317<br />
2011-04-04,77,63,49,50,45,39,80,55,29,30.2,30.11,30.03,10,10,10,12,3,15.0,0.00,3,,347<br />
2011-04-05,81,67,52,52,47,43,89,58,26,30.04,29.94,29.84,10,10,10,18,4,23.0,0.00,2,,315<br />
2011-04-06,75,63,51,50,45,37,83,57,31,30.01,29.95,29.9,10,10,10,17,7,21.0,0.00,2,,312<br />
2011-04-07,55,49,43,43,38,33,83,65,46,29.99,29.88,29.78,10,8,3,23,10,30.0,0.22,7,Rain-Thunderstorm,324<br />
2011-04-08,55,46,37,38,34,28,92,65,38,29.85,29.82,29.78,10,10,10,13,4,15.0,T,5,Rain,180<br />
2011-04-09,61,50,38,40,36,30,100,68,36,30.17,30.0,29.85,10,10,10,13,5,17.0,0.00,2,,116<br />
2011-04-10,68,55,41,43,38,34,89,60,30,30.3,30.26,30.19,10,10,9,10,4,15.0,0.00,1,,319<br />
2011-04-11,69,58,46,46,43,40,86,61,35,30.3,30.22,30.09,10,10,10,13,7,20.0,0.00,5,,314<br />
2011-04-12,71,59,46,46,41,35,86,57,28,30.1,30.05,29.99,10,10,10,13,6,15.0,0.00,2,,312<br />
2011-04-13,63,55,46,42,37,34,76,56,36,30.31,30.18,30.03,10,10,10,25,15,36.0,0.00,3,,313<br />
2011-04-14,68,55,41,40,35,28,86,58,29,30.41,30.33,30.28,10,10,10,14,5,18.0,0.00,1,,319<br />
2011-04-15,75,60,44,51,40,30,76,50,23,30.31,30.22,30.12,10,10,9,14,4,20.0,0.00,3,,311<br />
2011-04-16,78,65,52,56,51,46,96,66,36,30.12,30.04,29.95,10,10,8,15,5,21.0,0.00,4,,314<br />
2011-04-17,81,69,56,55,54,51,93,66,39,29.97,29.92,29.86,10,10,10,16,6,,0.00,3,,314<br />
2011-04-18,79,68,57,53,49,42,80,55,29,29.96,29.92,29.89,10,10,10,20,12,28.0,0.00,6,,313<br />
2011-04-19,75,65,54,55,53,47,100,71,41,30.0,29.96,29.9,10,8,0,13,7,16.0,0.00,5,Fog,312<br />
2011-04-20,76,66,56,55,50,41,86,58,29,30.02,29.97,29.95,10,10,8,12,3,15.0,T,6,,184<br />
2011-04-21,75,66,56,54,47,39,86,59,31,30.05,30.01,29.99,10,10,10,17,6,23.0,T,4,,327<br />
2011-04-22,73,61,48,46,42,34,86,59,31,30.04,29.98,29.92,10,10,8,15,5,20.0,0.00,6,,324<br />
2011-04-23,74,62,50,45,41,36,80,54,27,29.96,29.91,29.86,10,10,10,9,5,14.0,0.00,7,,276<br />
2011-04-24,73,64,54,50,47,41,83,59,34,30.12,30.0,29.9,10,10,10,16,7,21.0,0.00,5,,313<br />
2011-04-25,75,64,52,49,45,39,77,56,35,30.19,30.12,30.04,10,10,10,16,8,21.0,0.00,5,,307<br />
2011-04-26,73,61,48,43,36,26,80,50,20,30.15,30.1,30.04,10,10,10,22,14,31.0,0.00,1,,312<br />
2011-04-27,78,63,48,41,35,25,77,49,21,30.14,30.1,30.06,10,10,10,13,5,16.0,0.00,2,,308<br />
2011-04-28,78,65,51,44,41,36,71,50,29,30.14,30.09,30.03,10,10,9,18,7,23.0,0.00,1,,311<br />
2011-04-29,72,58,44,38,28,19,76,45,14,30.15,30.1,30.07,10,10,10,26,15,38.0,0.00,0,,307<br />
2011-04-30,73,59,44,33,28,21,60,37,14,30.15,30.1,30.06,10,10,10,14,4,17.0,0.00,1,,289<br />
2011-05-01,78,64,51,54,32,22,67,40,12,30.18,30.14,30.11,10,10,10,10,5,14.0,0.00,1,,147<br />
2011-05-02,86,70,53,43,35,26,59,36,12,30.27,30.2,30.12,10,10,10,10,4,,0.00,1,,321<br />
2011-05-03,86,70,54,43,38,27,59,36,12,30.17,30.08,29.99,10,10,10,16,6,21.0,0.00,0,,305<br />
2011-05-04,90,72,53,49,43,39,66,42,17,30.05,30.0,29.94,10,10,9,9,4,16.0,0.00,0,,299<br />
2011-05-05,96,79,61,52,45,33,67,41,15,30.01,29.95,29.87,10,10,8,14,4,18.0,0.00,0,,325<br />
2011-05-06,93,78,62,49,44,35,60,37,13,29.92,29.86,29.79,10,10,10,15,4,18.0,0.00,1,,303<br />
2011-05-07,82,67,52,49,42,33,64,41,18,29.91,29.86,29.82,10,10,10,16,9,21.0,0.00,3,,310<br />
2011-05-08,70,63,56,46,41,36,67,49,30,29.94,29.89,29.84,10,10,10,21,12,24.0,0.00,6,,304<br />
2011-05-09,68,61,47,48,41,36,76,55,34,29.94,29.89,29.84,10,10,5,25,7,36.0,0.02,5,Rain-Thunderstorm,332<br />
2011-05-10,75,61,46,49,40,36,86,55,23,29.98,29.92,29.86,10,10,9,12,5,15.0,0.00,1,,89<br />
2011-05-11,83,69,54,47,42,38,72,47,21,30.0,29.95,29.91,10,10,10,13,3,18.0,0.00,1,,300<br />
2011-05-12,86,70,53,47,45,40,77,49,20,30.1,30.04,30.0,10,10,10,14,6,20.0,0.00,0,,308<br />
2011-05-13,88,71,54,47,44,33,66,44,21,30.03,29.9,29.79,10,10,10,13,6,18.0,0.00,4,,311<br />
2011-05-14,72,62,52,39,36,31,59,41,23,29.94,29.85,29.78,10,10,10,17,10,,0.00,6,,311<br />
2011-05-15,65,56,46,50,43,36,89,62,35,30.06,29.97,29.82,10,9,3,18,5,24.0,0.23,6,Rain,359<br />
2011-05-16,63,55,47,46,40,35,82,59,36,30.06,30.01,29.93,10,10,10,17,6,23.0,0.00,7,Rain,145<br />
2011-05-17,64,58,51,49,45,41,89,66,43,29.94,29.88,29.83,10,10,10,17,9,22.0,T,8,Rain,150<br />
2011-05-18,68,60,51,48,45,41,89,65,40,29.9,29.82,29.78,10,10,10,17,7,21.0,T,6,Rain,282<br />
2011-05-19,75,62,49,47,45,43,93,63,33,29.99,29.95,29.91,10,10,10,10,3,14.0,0.00,3,,279<br />
2011-05-20,84,70,55,50,45,41,77,50,23,30.05,29.98,29.92,10,10,10,15,5,17.0,0.00,2,,315<br />
2011-05-21,84,71,57,48,42,27,67,40,12,29.95,29.91,29.84,10,10,10,13,7,17.0,0.00,4,,310<br />
2011-05-22,80,67,53,48,43,35,77,50,23,29.92,29.88,29.83,10,10,10,15,7,20.0,0.00,3,,301<br />
2011-05-23,74,62,49,46,39,33,74,49,23,30.01,29.97,29.92,10,10,10,14,7,18.0,0.00,3,,313<br />
2011-05-24,79,64,49,42,37,24,77,47,16,30.08,30.03,29.99,10,10,10,15,7,17.0,0.00,1,,313<br />
2011-05-25,85,69,53,48,42,33,77,47,17,30.07,29.99,29.93,10,10,9,28,5,32.0,0.00,5,,309<br />
2011-05-26,75,63,50,44,36,23,77,46,14,30.14,30.09,30.04,10,10,10,21,13,25.0,0.00,3,,305<br />
2011-05-27,80,66,52,48,43,40,71,49,27,30.13,30.05,29.95,10,10,10,17,10,22.0,0.00,2,,309<br />
2011-05-28,78,66,53,49,39,21,66,40,14,29.96,29.86,29.71,10,10,10,21,14,28.0,0.00,5,Rain,308<br />
2011-05-29,72,60,48,49,40,32,86,55,24,29.96,29.84,29.74,10,10,10,25,16,32.0,0.00,4,,311<br />
2011-05-30,79,66,52,57,40,8,69,41,12,30.04,29.98,29.92,10,10,10,10,4,14.0,0.00,2,,239<br />
2011-05-31,80,66,51,47,39,27,71,44,17,30.04,29.99,29.94,10,10,10,15,9,20.0,0.00,2,,299<br />
2011-06-01,73,64,54,45,40,31,71,47,22,30.13,30.08,30.04,10,10,10,17,8,22.0,0.00,4,,306<br />
2011-06-02,74,62,49,43,38,31,77,49,20,30.17,30.1,30.01,10,10,10,17,11,24.0,0.00,1,,304<br />
2011-06-03,75,63,50,46,42,37,83,55,27,30.0,29.9,29.79,10,10,10,14,5,17.0,0.00,6,,230<br />
2011-06-04,64,60,55,56,49,33,78,55,31,29.99,29.92,29.8,10,10,7,12,5,13.0,0.19,8,Rain,51<br />
2011-06-05,77,68,59,57,53,43,80,58,35,30.0,29.95,29.89,10,7,2,15,5,21.0,0.06,7,Rain-Thunderstorm,292<br />
2011-06-06,73,64,55,58,50,44,86,62,38,30.09,30.03,29.97,10,10,3,12,5,15.0,0.29,5,Rain,329<br />
2011-06-07,78,67,56,56,51,46,80,58,36,30.03,29.97,29.9,10,10,7,12,9,17.0,0.00,4,,310<br />
2011-06-08,85,73,60,55,52,49,78,55,31,29.95,29.92,29.88,10,10,10,10,5,15.0,0.00,2,,308<br />
2011-06-09,89,74,58,54,51,47,86,56,26,29.98,29.93,29.88,10,10,9,14,7,18.0,0.00,0,,304<br />
2011-06-10,91,76,61,56,48,36,78,47,15,29.93,29.87,29.8,10,10,10,14,7,21.0,0.00,0,,309<br />
2011-06-11,82,69,56,51,48,38,77,50,23,29.89,29.83,29.78,10,10,10,17,9,20.0,0.00,4,,303<br />
2011-06-12,84,70,55,54,51,45,86,56,26,29.87,29.83,29.79,10,10,10,17,8,24.0,0.00,2,,301<br />
2011-06-13,91,77,62,59,53,50,73,50,26,29.95,29.91,29.88,10,10,10,20,8,23.0,0.00,0,,312<br />
2011-06-14,97,82,66,59,57,50,78,52,25,30.01,29.93,29.86,10,10,10,15,6,20.0,0.00,0,,305<br />
2011-06-15,98,81,64,59,54,46,66,44,21,29.86,29.77,29.68,10,10,10,15,5,20.0,0.00,0,,300<br />
2011-06-16,93,80,66,53,46,37,58,37,15,29.72,29.69,29.65,10,10,10,17,8,20.0,0.00,0,,303<br />
2011-06-17,92,78,63,52,47,36,65,41,16,29.8,29.76,29.71,10,10,9,12,4,16.0,0.00,0,,310<br />
2011-06-18,93,78,63,54,49,44,65,43,21,29.87,29.81,29.76,10,10,10,14,6,16.0,0.00,2,,316<br />
2011-06-19,92,78,63,56,51,41,72,48,23,29.78,29.74,29.7,10,10,10,16,9,21.0,0.00,1,,305<br />
2011-06-20,98,82,66,59,51,48,59,40,20,29.8,29.74,29.69,10,10,10,10,4,13.0,0.00,0,,264<br />
2011-06-21,104,88,71,61,55,48,68,43,18,29.79,29.74,29.69,10,10,10,12,6,25.0,0.00,0,,260<br />
2011-06-22,107,90,73,61,54,43,64,39,14,29.79,29.75,29.7,10,10,10,12,5,15.0,0.00,0,,300<br />
2011-06-23,100,86,71,51,45,32,47,28,9,29.83,29.79,29.75,10,10,10,14,9,20.0,0.00,0,,313<br />
2011-06-24,94,80,65,50,36,25,37,23,8,29.85,29.8,29.75,10,10,10,14,5,,0.00,0,,312<br />
2011-06-25,95,79,63,52,45,26,65,37,9,29.83,29.79,29.75,10,10,10,13,5,16.0,0.00,0,,297<br />
2011-06-26,94,78,62,52,47,39,60,38,15,29.86,29.81,29.75,10,10,10,13,6,16.0,0.00,0,,312<br />
2011-06-27,98,83,67,55,49,36,63,38,12,29.8,29.76,29.71,10,10,10,9,5,20.0,0.00,0,,303<br />
2011-06-28,92,80,67,56,53,49,63,44,24,29.81,29.75,29.69,10,10,8,17,8,21.0,0.00,2,,314<br />
2011-06-29,75,66,57,61,55,47,97,68,38,29.97,29.9,29.81,10,8,2,20,12,26.0,0.27,6,Rain,304<br />
2011-06-30,86,73,59,58,54,51,80,56,32,30.02,29.95,29.87,10,10,8,12,4,16.0,0.00,0,,307<br />
2011-07-01,95,81,66,60,57,55,78,54,30,29.88,29.82,29.73,10,10,6,10,4,15.0,0.00,0,,292<br />
2011-07-02,102,87,71,62,58,53,68,46,24,29.76,29.71,29.65,10,10,6,13,5,15.0,0.00,0,,298<br />
2011-07-03,103,88,73,60,58,50,58,40,21,29.75,29.71,29.68,10,10,10,13,5,16.0,0.00,1,,305<br />
2011-07-04,106,91,76,64,60,49,64,41,18,29.81,29.76,29.71,10,10,9,10,4,14.0,0.00,1,,310<br />
2011-07-05,100,87,74,64,60,55,56,40,23,29.87,29.81,29.76,10,10,8,12,4,14.0,0.00,3,,306<br />
2011-07-06,105,91,76,63,58,45,58,39,20,29.88,29.83,29.78,10,10,10,14,6,17.0,0.00,2,,300<br />
2011-07-07,103,89,75,57,50,39,41,27,12,29.9,29.83,29.76,10,10,10,14,5,16.0,0.00,1,,302<br />
2011-07-08,103,89,74,58,54,48,54,37,20,29.81,29.75,29.68,10,10,10,12,5,17.0,0.00,1,,306<br />
2011-07-09,101,85,69,58,51,34,61,36,11,29.78,29.74,29.7,10,10,10,14,5,17.0,0.00,1,,313<br />
2011-07-10,98,81,64,52,44,31,52,31,10,29.81,29.77,29.72,10,10,10,13,5,16.0,0.00,0,,307<br />
2011-07-11,92,77,62,52,50,45,65,43,20,29.9,29.85,29.81,10,10,10,14,6,18.0,0.00,0,,313<br />
2011-07-12,90,75,60,56,47,41,64,42,19,29.92,29.87,29.82,10,10,10,15,7,20.0,0.00,0,,304<br />
2011-07-13,88,75,61,56,54,45,78,54,30,29.91,29.86,29.8,10,10,10,16,8,21.0,0.00,1,,303<br />
2011-07-14,85,72,59,52,46,41,62,43,23,29.91,29.85,29.79,10,10,10,16,9,21.0,0.00,2,,306<br />
2011-07-15,86,72,57,53,49,45,77,51,25,29.87,29.82,29.76,10,10,10,16,6,20.0,0.00,2,,297<br />
2011-07-16,87,73,58,57,51,43,80,52,24,29.87,29.83,29.78,10,10,10,15,7,18.0,0.00,1,,308<br />
2011-07-17,90,76,62,57,54,49,78,52,26,29.9,29.85,29.79,10,10,10,16,7,22.0,0.00,0,,309<br />
2011-07-18,94,78,62,57,53,48,67,45,22,29.91,29.87,29.81,10,10,10,15,5,20.0,0.00,0,,306<br />
2011-07-19,92,78,64,58,55,50,73,52,30,30.0,29.92,29.86,10,10,10,18,8,23.0,0.00,0,,304<br />
2011-07-20,99,84,68,59,54,48,66,42,18,29.93,29.87,29.8,10,10,10,13,4,18.0,0.00,0,,300<br />
2011-07-21,99,84,68,56,50,38,61,37,12,29.84,29.78,29.71,10,10,10,15,6,18.0,0.00,0,,293<br />
2011-07-22,99,84,69,57,53,47,61,40,18,29.78,29.75,29.7,10,10,10,15,6,20.0,0.00,0,,301<br />
2011-07-23,99,84,69,59,56,46,66,42,17,29.87,29.82,29.77,10,10,10,10,5,21.0,0.00,1,,308<br />
2011-07-24,98,83,67,60,56,53,68,46,24,29.99,29.93,29.88,10,10,10,12,6,,0.00,0,,303<br />
2011-07-25,97,81,65,58,52,42,58,39,20,29.97,29.9,29.81,10,10,4,15,7,20.0,0.00,0,,307<br />
2011-07-26,97,82,66,54,50,45,63,40,17,29.86,29.8,29.72,10,10,5,12,6,17.0,0.00,0,,316<br />
2011-07-27,100,83,66,57,52,36,73,42,11,29.84,29.79,29.74,10,10,10,13,4,,0.00,1,,297<br />
2011-07-28,100,85,69,58,53,48,57,39,20,29.86,29.81,29.77,10,10,10,12,6,17.0,0.00,3,,297<br />
2011-07-29,100,86,72,59,55,52,53,38,22,29.88,29.82,29.76,10,10,10,12,6,15.0,0.00,1,,304<br />
2011-07-30,99,84,69,61,56,53,61,42,22,29.9,29.84,29.77,10,10,10,10,6,14.0,0.00,3,,304<br />
2011-07-31,97,84,70,66,59,54,61,46,30,29.94,29.87,29.81,10,10,8,12,6,17.0,T,5,Rain-Thunderstorm,282<br />
2011-08-01,100,84,67,62,57,45,68,46,24,29.97,29.9,29.83,10,10,9,14,5,15.0,0.00,4,,301<br />
